University Seat Number,Subject Code,Subject Name,Internal Marks,External Marks,Total Marks,Result,Date
21MATCS41,MATHEMATICAL FOUNDATIONS FOR,47,27,74,P,2023-11-03
21CSL481,WEB PROGRAMMING,43,45,88,P,2023-11-03
21CS42,DESIGN AND ANALYSIS OF ALGORITHMS,44,24,68,P,2023-11-03
21CS43,MICROCONTROLLER AND EMBEDDED SYSTEM,42,30,72,P,2023-11-03
21CS44,OPERATING SYSTEM,41,34,75,P,2023-11-03
21BE45,BIOLOGY FOR ENGINEERS,45,37,82,P,2023-11-03
21CSL46,PYTHON PROGRAMMING LABORATORY,47,46,93,P,2023-11-03
21CIP47,CONSTITUTION OF INDIA & PROFESSIONAL,48,25,73,P,2023-11-03
21UH49,UNIVERSAL HUMAN VALUES AND,47,29,76,P,2023-11-03
21INT49,INTER/INTRA INSTITUTIONAL INTERNSHIP,90,0,90,P,2023-11-03
